scenario,dataset,algorithm,total_submitted,total_completed,edge_completed,cloud_completed,total_incomplete,completion_ratio,edge_execution_ratio,cloud_execution_ratio,avg_waiting_time,avg_execution_time,avg_turnaround_time,avg_wall_clock_time,makespan,throughput,avg_cost,runner_wall_clock_ms
"stress","MQT-Set01-298-10-27-IBMQ27-Opt3-Extra.csv","Lottery",298,298,298,0,0,1.0000,1.0000,0.0000,84022.2344,1679.6326,85701.8670,85701.8670,210520.9200,0.0014,2687.4121,176
"stress","MQT-Set01-298-10-27-IBMQ27-Opt3-Extra.csv","FCFS",298,298,298,0,0,1.0000,1.0000,0.0000,246699.6756,1519.0365,248218.7120,248218.7120,452672.8700,0.0007,2430.4584,94
"stress","MQT-Set01-298-10-27-IBMQ27-Opt3-Extra.csv","LoadAware",298,298,298,0,0,1.0000,1.0000,0.0000,57793.0979,1801.4494,59594.5473,59594.5473,290883.4600,0.0010,2882.3190,72
"stress","MQT-Set01-298-10-27-IBMQ27-Opt3-Extra.csv","QCLAR",298,298,298,0,0,1.0000,1.0000,0.0000,56461.1283,1769.2657,58230.3940,58230.3940,261795.1000,0.0011,2830.8251,76
"stress","MQT-Set01-298-10-27-IBMQ27-Opt3-Extra.csv","QCLAAR",298,298,298,0,0,1.0000,1.0000,0.0000,56461.1283,1769.2657,58230.3940,58230.3940,261795.1000,0.0011,2830.8251,67
"stress","MQT-Set02-10-27-Mapped-AllAlgorithmLeft-Extra.csv","Lottery",1133,1133,1133,0,0,1.0000,1.0000,0.0000,938867.2493,4371.5631,943238.8124,943238.8124,2010636.0800,0.0006,6994.5010,230
"stress","MQT-Set02-10-27-Mapped-AllAlgorithmLeft-Extra.csv","FCFS",1133,1133,1133,0,0,1.0000,1.0000,0.0000,2675334.1733,3938.2962,2679272.4695,2679272.4695,4462089.5900,0.0003,6301.2739,171
"stress","MQT-Set02-10-27-Mapped-AllAlgorithmLeft-Extra.csv","LoadAware",1133,1133,1133,0,0,1.0000,1.0000,0.0000,633447.3694,4691.3382,638138.7076,638138.7076,2895691.9300,0.0004,7506.1411,92
"stress","MQT-Set02-10-27-Mapped-AllAlgorithmLeft-Extra.csv","QCLAR",1133,1133,1133,0,0,1.0000,1.0000,0.0000,629124.8844,4613.3941,633738.2785,633738.2785,2606122.9700,0.0004,7381.4305,96
"stress","MQT-Set02-10-27-Mapped-AllAlgorithmLeft-Extra.csv","QCLAAR",1133,1133,1133,0,0,1.0000,1.0000,0.0000,629124.8844,4613.3941,633738.2785,633738.2785,2606122.9700,0.0004,7381.4305,94
"stress","MQT-Set03-7-127-AllOpt-IBMMapped-Only127-Extra.csv","Lottery",5818,5818,0,5818,0,1.0000,0.0000,1.0000,15489559.2275,23227.5215,15512786.7490,15512786.7490,37138856.7200,0.0002,37164.0344,3918
"stress","MQT-Set03-7-127-AllOpt-IBMMapped-Only127-Extra.csv","FCFS",5818,5818,0,5818,0,1.0000,0.0000,1.0000,263949774.7187,91023.8494,264040798.5681,264040798.5681,529576755.9300,0.0000,145638.1591,3713
"stress","MQT-Set03-7-127-AllOpt-IBMMapped-Only127-Extra.csv","LoadAware",5818,5818,0,5818,0,1.0000,0.0000,1.0000,21171859.4369,44152.3400,21216011.7770,21216011.7770,90321312.3400,0.0001,70643.7441,3649
"stress","MQT-Set03-7-127-AllOpt-IBMMapped-Only127-Extra.csv","QCLAR",5818,5818,0,5818,0,1.0000,0.0000,1.0000,15320713.3679,26049.7555,15346763.1234,15346763.1234,37419998.5100,0.0002,41679.6087,3661
"stress","MQT-Set03-7-127-AllOpt-IBMMapped-Only127-Extra.csv","QCLAAR",5818,5818,0,5818,0,1.0000,0.0000,1.0000,15227659.8340,25256.1133,15252915.9474,15252915.9474,38443731.8900,0.0002,40409.7813,3652
"stress","MQT-Set04-7-127-AllOpt-IBMMapped-Extra.csv","Lottery",7315,7315,1497,5818,0,1.0000,0.2046,0.7954,12084633.2595,18190.0811,12102823.3406,12102823.3406,34560435.1500,0.0002,29104.1298,3716
"stress","MQT-Set04-7-127-AllOpt-IBMMapped-Extra.csv","FCFS",7315,7315,1497,5818,0,1.0000,0.2046,0.7954,202025354.3378,70580.7531,202095935.0908,202095935.0908,511010123.4500,0.0000,112929.2049,3844
"stress","MQT-Set04-7-127-AllOpt-IBMMapped-Extra.csv","LoadAware",7315,7315,1497,5818,0,1.0000,0.2046,0.7954,15414074.8636,34132.9202,15448207.7838,15448207.7838,89614837.6100,0.0001,54612.6723,3742
"stress","MQT-Set04-7-127-AllOpt-IBMMapped-Extra.csv","QCLAR",7315,7315,1497,5818,0,1.0000,0.2046,0.7954,11847379.9255,19363.5652,11866743.4907,11866743.4907,31789198.3100,0.0002,30981.7043,3795
"stress","MQT-Set04-7-127-AllOpt-IBMMapped-Extra.csv","QCLAAR",7315,7315,1497,5818,0,1.0000,0.2046,0.7954,11616648.4019,20005.9685,11636654.3704,11636654.3704,32793659.0900,0.0002,32009.5496,3789
